soil_moisture,rainfall,temperature,crop_type,irrigation_frequency,land_slope,organic_matter_content,water_category
0.1185260448662222,1008,23.642399837597985,wheat,9,0.0626118526017837,3.6813941935507226,blue
0.9729188669457949,1681,19.539942920035642,rice,5,0.1968690798158922,0.7821032972983963,grey
0.8491983767203796,1670,37.71126403334071,soybean,3,0.0367351903292641,4.277023215602011,blue
0.29110519961044856,1376,29.58479486915301,wheat,2,0.0483829769964731,0.517189651963624,grey
0.26364247048639056,489,25.021285419090997,soybean,2,0.045002719455224965,1.6107074114085602,blue
0.2650640588680905,1717,26.550145091103317,soybean,3,0.1798580449014954,3.8340682526843217,green
0.373818018663584,982,38.68208349029538,soybean,2,0.13431558494174275,1.9232156737818804,blue
0.5722807884690141,355,18.833785077902004,corn,4,0.03889981381223185,0.9585157462970608,grey
0.48875051677790415,808,29.65574580041993,soybean,2,0.09366144948998631,2.1210526346019254,blue
0.36210622617823773,1938,27.64721697211165,corn,9,0.1269066247632624,1.7167697887303648,grey
0.6506676052501416,549,30.286355885866193,rice,2,0.025858176147982824,4.292203559722497,grey
0.22554447458683766,109,15.452754595521013,wheat,9,0.17765910999739437,1.9100656291331441,green
0.3629301836816964,923,36.803097723603784,wheat,6,0.1626846717338917,4.050196122992032,green
0.4297256589643226,897,38.302957062090314,wheat,1,0.10598928697956127,4.5134246516483065,grey
0.5104629857953323,1365,29.12832958973022,wheat,4,0.19375405689924238,2.452178388094383,blue
0.8066583652537123,1374,32.4162705969223,wheat,1,0.08937458606226893,4.594744147344764,grey
0.2797064039425238,976,38.062484529432396,wheat,6,0.1969809606169346,2.197931242834368,grey
0.5628109945722505,1128,32.68096585783496,wheat,4,0.13690479977268916,4.838352874205487,blue
0.6331731119758383,1242,18.813476072856535,rice,3,0.13058754191824887,0.9018028603650782,blue
0.14180537144799796,1115,29.40720900417033,soybean,3,0.041531430106199155,3.5915866992645924,blue
0.6467903667112945,1924,30.1678761595714,cotton,9,0.17756627407788236,2.722163182056179,blue
0.2534717113185624,473,25.60326678255965,corn,6,0.09122304070491688,2.244419624550412,grey
0.1585464336867516,1188,33.411105890618074,cotton,9,0.040824347098671075,3.347203454368704,grey
0.9539969835279999,245,38.35917536922537,cotton,5,0.012395428795394218,3.6673569123544905,green
0.9690688297671034,323,38.13921282266941,soybean,2,0.11635357989129269,0.5196347134263909,grey
0.827557613304815,1362,26.270984285103303,soybean,8,0.1102059282033085,1.2512888993623943,blue
0.3741523922560336,276,17.830951146018883,soybean,5,0.14667718825014014,3.708707227854434,green
0.1879049026057455,1902,39.62102997405836,wheat,2,0.17914903007338243,3.498734361101929,blue
0.7158097238609412,952,35.972452161148354,rice,4,0.02508725108217561,4.847213773079048,grey
0.4961372443656412,1405,18.116567030081672,wheat,9,0.14898433316466886,3.9246700561285235,green
0.20983441136030095,162,38.02104706543431,rice,4,0.04560826937854062,4.778477184791021,blue
0.5456592191001431,1340,36.747409051553205,rice,4,0.17305364009986116,3.6614322569066315,green
0.13094966900369656,1977,27.970951428151803,cotton,2,0.16562206763371468,1.8412349388774942,green
0.9183883618709039,926,29.781885893623233,cotton,6,0.11275081344725343,0.9741421501288541,grey
0.3329019834400152,894,24.975067596753256,rice,2,0.1449461317384292,4.01820738505221,blue
0.6962700559185838,788,16.369040970550785,rice,7,0.0697265215049122,3.3986714966416214,green
0.3805399684804699,1584,23.379931041147522,wheat,3,0.09952190079723477,0.716837055769833,green
0.5680612190600297,1733,35.071336214950286,wheat,3,0.16611101056498961,2.1202270965544026,blue
0.5920392514089517,204,15.115800575115072,cotton,5,0.09726038746291064,4.8055991696792875,green
0.26636900997297436,1222,23.337479292278605,soybean,3,0.07798167041183393,2.7518051556959056,green
0.9726261649881027,610,24.954217339773585,rice,2,0.10390036497755697,2.447281112088671,green
0.7976195410250031,484,28.434890073448074,wheat,9,0.1673673579630715,2.559648223216823,blue
0.9455490474077702,504,37.99639041031901,cotton,2,0.07368952900046581,1.4399722580232368,blue
0.905344615384884,922,23.65864985914903,wheat,2,0.04301470269579132,2.1591822688915787,blue
0.6381099809299766,617,23.673830047405694,rice,8,0.14528266386284835,2.1641596519422945,blue
0.9296868115208051,575,33.43753120274371,rice,9,0.16693586041453556,0.7355975908436259,grey
0.17964325184672755,808,26.30544852224518,corn,7,0.029121120919471333,3.954054328330632,green
0.27638457617723067,1986,20.61512057349955,soybean,3,0.0555760814236295,2.3742699435674552,blue
0.14070456001948428,1768,26.310987903317333,corn,9,0.036974678054588844,4.199809490673905,green
0.39279729768693794,1993,18.521425509494996,cotton,3,0.07610886820061165,4.326566005039529,green
0.4498095607205338,870,19.409674662655583,wheat,5,0.0955666859920284,1.4539732461439612,grey
0.34421412859650635,1560,27.459194318486993,cotton,9,0.15227700402302824,3.4580906697655784,blue
0.8458637582367364,1146,25.473136237613698,rice,3,0.1337180411275181,2.625268118733418,blue
0.4210779940242304,1096,37.8711475267025,corn,7,0.12797642782090193,4.460705320646683,green
0.3528410587186427,1688,24.059847477915827,corn,1,0.07695123985583434,1.4708330562940435,blue
0.5884264748424236,776,29.514708756951087,corn,4,0.1698750350861044,3.550159401395199,green
0.2268318024772864,813,30.80660719798826,cotton,4,0.09954456180565126,3.2348845501372514,green
0.8219772826786357,1581,15.32736141470834,rice,7,0.19602993822287937,1.8288566490732476,grey
0.16709557931179375,182,31.588434300417767,wheat,8,0.13048700627619,1.1147040664302768,grey
0.9881982429404655,1268,19.450899171743785,wheat,1,0.03399030089725552,3.4323789221477448,grey
0.7950202923669917,1208,39.026757936736374,cotton,5,0.13847373679433247,3.823688561595488,green
0.2788441133807552,1201,18.716568193827825,corn,7,0.07176976293202281,1.920323046935075,blue
0.10496990541124217,556,25.365603093175594,soybean,4,0.14040216737035852,3.401746718100412,grey
0.8339152856093507,100,17.133741701966095,cotton,4,0.023231818150857092,2.2780890842517647,blue
0.7361716094628554,150,39.92185629614868,cotton,4,0.04322747306343228,3.70943097477178,grey
0.7561064512368886,784,27.554875258281065,rice,6,0.17259007919209943,1.396468737023239,grey
0.7941433120173511,816,29.884625433001094,wheat,7,0.05316411583446783,4.505967511862785,green
0.16664018656068133,1895,16.676911934710688,cotton,2,0.16903781379615862,1.7933431840951088,grey
0.4226191556898453,1569,33.749011759979446,cotton,5,0.06306245680633799,2.155036944902688,grey
0.20428215357261675,548,20.247639827389644,corn,4,0.13214756291115445,0.761413784361574,green
0.8767930832880342,980,37.45135723601784,corn,3,0.1418886089668679,1.0018049554457438,blue
0.6609683141448022,587,20.12849101205018,soybean,7,0.10740440309756005,2.8213785622054766,grey
0.39780822236738433,1923,19.767193016591662,rice,6,0.06800902857237895,1.7041670452758717,green
0.1572025152574213,133,15.913741696202372,soybean,7,0.050402431510508265,4.259661015839875,grey
0.379884089544096,1471,26.80167362774998,corn,5,0.016305977366860982,0.5661202489472923,green
0.3926649898240724,194,29.121028331565412,wheat,6,0.06774981623573752,2.205923219023713,blue
0.7566455605042577,1195,16.642715985708808,corn,5,0.13410093020094377,2.0180549604609173,blue
0.6738017242196918,1674,34.38819041737526,rice,7,0.18827791550521172,0.5869743391292046,green
0.8984914683186939,253,26.332220868700688,corn,2,0.1755288516299799,1.059657795502296,green
0.5249934326457544,349,28.1097567331895,rice,5,0.1555523075417075,2.3613920371338586,green
0.20763482134447153,773,26.019068673455706,rice,6,0.15980499521812677,2.71789063001351,blue
0.7419203085006955,537,25.01907652188315,rice,6,0.1363471316604391,2.319303862646911,grey
0.7847065437552077,217,28.991008282705447,rice,5,0.05945450293754057,2.8892195528544224,blue
0.6051494778125466,870,18.88100614826781,rice,7,0.18236705583410767,3.178092537075567,green
0.7938704619591049,1429,19.548203262381776,wheat,8,0.1374391392621085,0.5446571950752603,green
0.5444160367279517,367,36.54464052533793,soybean,7,0.11648371988628359,2.5884282175407676,blue
0.5704595464437947,1177,38.65288655334082,cotton,5,0.0310879991505614,4.835746583994148,green
0.4847869165226947,335,24.332732906993826,soybean,1,0.09494055332322082,2.8356452605829694,blue
0.12287721406968567,488,21.768616828588844,rice,5,0.097468071528366,3.5489402035652895,green
0.19710228429397403,1089,31.099988580975396,wheat,2,0.1742670858093073,1.9033873606259744,grey
0.12828626711806082,1857,25.21835427745241,corn,5,0.11386316183567981,3.9829612016874316,grey
0.6727693701374023,862,15.634658891508622,wheat,5,0.08227610430437783,3.978146668442518,green
0.382920382968694,1948,18.90381493415476,rice,2,0.1955920624170253,2.845832214443625,blue
0.5577136220482325,500,32.89930572118494,wheat,5,0.03103691273199998,4.892062204756461,grey
0.9168098265334838,723,31.473098547753786,wheat,4,0.09028420137926947,1.0649759664319403,blue
0.32436300623398745,866,15.677399812587087,rice,1,0.017984688282567003,0.5762644920031145,green
0.4693446307320668,1426,20.549304048323737,wheat,3,0.15058178294571678,3.965711952906932,blue
0.7799960246887438,1018,20.776869914701784,cotton,1,0.18443454491783864,4.132199918141971,grey
0.3059183489424602,1330,31.79731858996821,cotton,5,0.063207092614593,1.0409325310425932,blue
0.1692819188459137,1352,15.492763443859104,wheat,4,0.17308491859183298,1.6951227483137274,blue
0.3607763076223912,952,17.602714549614348,corn,7,0.06552146378776058,0.5789856351498301,green
0.24509915852860398,677,34.997902134329735,rice,5,0.1830463307123439,1.819888748512541,green
0.9367278871083158,174,19.463616551358342,cotton,4,0.15325276168338897,3.979138432634022,green
0.8273083416079753,534,31.31865269629687,corn,2,0.16293228759987335,2.8308223747066052,grey
0.6700633808593811,202,20.954569526168164,wheat,4,0.013421245564086356,2.0664301692572966,grey
0.884314531168946,1545,17.48603481898363,corn,2,0.19293396784406494,2.1728268270784863,green
0.823304869209203,1827,21.07930477498635,soybean,8,0.14806748849336143,0.5060913157196067,green
0.2679130529974323,863,33.05667329639148,cotton,3,0.06790270812336532,1.8491023740435615,grey
0.90330309864098,837,36.39241170265714,wheat,9,0.16758498632318092,3.4090643373706873,grey
0.5854080177240857,905,35.75549661417479,rice,4,0.06348902769883669,4.883874997173607,grey
0.8266961396476563,1429,24.92958824046137,wheat,6,0.17582322951756432,4.311773721427548,grey
0.9064821699311439,197,31.702128414266156,rice,5,0.031390274178268035,0.6061773409048811,green
0.38620312747467755,1973,20.124607385395525,wheat,1,0.1437003357175512,4.543522721036777,grey
0.19904673207490908,897,22.328693256525334,corn,9,0.11273271056253296,4.024392859843816,green
0.30514164628774754,1458,37.40839546302799,corn,1,0.028341549337133752,4.011692556069412,blue
0.48439700976363065,958,15.325048087768401,corn,8,0.055959827369179406,2.5609809155160717,blue
0.8362132893302437,534,17.1377132713617,soybean,9,0.01235676689268981,2.2910238182952627,grey
0.8746575249307091,546,20.197156378650682,rice,9,0.0990659134382561,1.8631207797493667,blue
0.10625691747807164,1431,15.663305096845493,corn,1,0.06724039954440007,0.795626865294646,blue
0.5596725723198092,348,19.535885877244933,soybean,2,0.12368792201657416,1.5270591357216459,blue
0.4756699028339011,265,29.576039024242306,rice,1,0.06647518346463727,1.6097163574011109,grey
0.29989702942365726,1604,25.53561376481245,wheat,2,0.0669846311863271,2.678346813695907,grey
0.20787883060031453,1083,37.31679277692437,soybean,8,0.15120670775900466,3.863499829685123,blue
0.40385365426326514,1458,35.436089043461024,cotton,5,0.019147138835887156,2.63214422779076,green
0.9486187335212672,1119,23.5454337924469,soybean,7,0.1815500490864776,0.7603000225122227,blue
0.3908826388186797,641,21.485585835782313,soybean,2,0.17193013613432448,4.810054104446918,grey
0.5669115595690295,858,24.49231020418167,rice,8,0.13688288981301724,4.742259435923505,grey
0.7327170630056601,1229,29.757373562870193,wheat,6,0.12271209832040302,4.033352944167838,grey
0.42726664214136456,1686,21.701591020571907,cotton,8,0.17953747464653394,4.960975557038992,blue
0.9746038744488646,180,30.603722696228353,corn,1,0.045212734110455746,2.9501704976011833,green
0.9662025654479001,232,25.23529130478101,corn,1,0.025004140816257438,4.8324575761394275,grey
0.3266040662428278,896,28.801179521299506,soybean,7,0.05550693228281224,0.8402226827753785,grey
0.547523655303147,999,25.903163228382915,rice,8,0.16096987295303616,2.145563367176171,blue
0.37079047883509275,237,22.361643988547943,rice,3,0.016587350678031833,1.5142157060304462,green
0.35635644493972085,283,38.71133267405392,corn,5,0.12073329866586302,1.3812488786042152,blue
0.13319825261907953,1524,34.09014485399402,cotton,1,0.1991331280763489,1.1336132700170425,grey
0.6486079005819072,1453,18.502829394161314,wheat,7,0.1725822578291325,3.300861387046985,green
0.5524111209059753,884,36.711699397447816,cotton,5,0.109074680918282,4.015948350862873,green
0.14633087612499043,1631,27.18577995623784,wheat,8,0.022091772764462045,3.102342797391623,grey
0.35078181781295026,1975,37.363805672352285,corn,8,0.16796096773328487,1.1613321931469436,green
0.9174392973699883,1083,34.996381398682885,wheat,9,0.12380591655367,4.150056964700619,green
0.3156057016002752,168,25.630337611730837,rice,7,0.0318372694413177,3.361796182236778,blue
0.2304053848821008,645,15.561732708002936,soybean,1,0.02783288411643768,2.2467456775714796,grey
0.5405074842498068,1897,21.71693398462365,soybean,3,0.18282909569295258,3.5335863299122834,grey
0.9870854086995406,152,28.540855366521672,corn,8,0.1371480499582349,1.6695724065927477,grey
0.3178497443603504,1573,30.836955495653683,rice,3,0.16756449187018357,2.053364938223947,grey
0.7049219926652907,304,21.447192135830058,cotton,8,0.1770059910536308,4.628686294093956,grey
0.7854576537958459,225,18.483901851820605,rice,1,0.11863674688918122,1.8072702755213919,green
0.3138737895931597,1870,35.873255919982476,soybean,5,0.10831480683345784,2.6149472067107147,blue
0.7553947137506736,142,39.61005451758881,soybean,4,0.09178120796098813,4.505635118282066,grey
0.43100481944732794,1875,28.142254557567146,rice,5,0.07021985168031267,3.6847460762038735,blue
0.6690752475342215,210,19.291982146207587,rice,8,0.09257323256315524,0.7799145177411624,blue
0.6701767396848052,860,21.807683162984226,soybean,4,0.15703713458872973,1.1628636992553665,green
0.5821972156672827,1786,15.459766913686668,cotton,4,0.124365451892875,0.5352871584736256,grey
0.18126079304896747,1306,37.857470164012476,corn,3,0.17957942509142077,3.3391480560312354,green
0.8517722460303142,947,17.94377707225353,corn,7,0.09424220273204566,2.5145304143468823,grey
0.3887020584745623,194,29.41291188785634,rice,3,0.12534701995656328,1.1042368290602398,green
0.2678666593598688,1497,21.85138051718015,corn,3,0.12994843508747786,4.810703544755467,blue
0.13669762739928754,1643,28.854450062894834,soybean,5,0.12242246083820184,2.8834687577552893,grey
0.6318036488694176,999,31.285509708796607,soybean,5,0.14350041688624812,1.5885198235080014,blue
0.7098079256580542,459,35.74354509268004,rice,6,0.055112358991213195,2.752716070196184,blue
0.11492904603507054,999,20.16053179401508,rice,8,0.10734911773370022,3.558291497307985,green
0.5608837524693528,1819,15.274895716462012,rice,6,0.02980271253358606,0.8430764808810401,grey
0.30384619767814414,380,18.422140751720182,cotton,1,0.08305715225251438,1.736167167715514,blue
0.6806555113685049,1318,37.50046604620263,corn,8,0.10265674303804023,4.131344708977972,green
0.2569297861044923,1987,36.847251939062886,rice,8,0.13392260931363978,2.5684919168119755,grey
0.7218439642922193,1318,29.935327554257707,wheat,9,0.1906008999913787,2.959597139145327,grey
0.44806181167048365,766,30.012921510841334,wheat,9,0.12412370264418761,2.447672009942612,blue
0.9430569898630611,192,31.625916863656386,soybean,2,0.15128284407354636,0.697549741893523,grey
0.22376884973139394,771,19.38428196558624,corn,2,0.10619055130408853,1.2458740091907017,blue
0.4069597159452327,160,37.860298648123994,rice,3,0.13047976596150296,2.504937374338509,grey
0.20212616911653017,733,25.469263122301825,wheat,1,0.023477121065416953,1.4413345943356752,green
0.9322242564507065,1174,24.578463206237437,corn,4,0.05833440035995093,0.7249056289685543,blue
0.889605418042883,1526,27.97294263207094,soybean,4,0.07875208770897635,4.296423488233207,blue
0.33214746494364006,1912,16.174149169376378,cotton,9,0.09977373745123758,4.915366381238521,grey
0.6939856414307611,1128,19.157084218901986,corn,9,0.01867326164545291,4.0691429329853275,grey
0.8354999801810943,1589,33.45084041065926,corn,9,0.03660457853513036,4.342032147671002,blue
0.5996807304395161,703,17.069966698128162,cotton,7,0.0625947184803481,1.5888970864267042,grey
0.5766855205204059,781,30.078802736659703,corn,2,0.19459121127119963,4.822821389809399,green
0.3176670618104065,1952,21.133727742033024,soybean,5,0.07295593134957964,1.3861656700404277,grey
0.1837924910253093,633,24.732390351049414,soybean,4,0.10158780104129568,4.7814341466282455,green
0.907494182157994,1528,22.217343419267497,cotton,8,0.04725856542029466,4.97668682284678,green
0.9103762514469974,937,23.89181791162373,rice,2,0.12604821350439596,3.702752625857219,green
0.6697913115459412,1636,32.97614762960614,wheat,6,0.06332981094803512,4.915146793063198,green
0.4051268119438306,744,22.428042890579377,rice,5,0.04932858990330109,3.0629290080519667,green
0.41428861715139487,332,29.16011600742243,corn,2,0.10814879940473601,1.6679380242924065,grey
0.7533601109832154,623,26.90126005497749,wheat,1,0.011046101840479956,2.4664814854952937,green
0.9073992339573194,445,31.591779134066204,cotton,8,0.011456166203352812,3.171024209204537,grey
0.8983777818386056,1169,38.420743483118954,cotton,2,0.05162307372935298,0.8288670291215674,green
0.8018879912718615,645,33.31430243025626,wheat,7,0.016977058875156017,3.3005446907776075,blue
0.677828481538859,1201,20.37350946476892,soybean,9,0.030524893284831364,4.915300265430325,green
0.17572596849554395,1853,15.779578376532116,wheat,9,0.0743835233743628,1.3554844240267743,blue
0.2454658426851524,1936,21.556601107495627,corn,8,0.16249127912016445,4.066678023297725,green
0.9086987696743714,1196,29.87694826750637,soybean,9,0.11868924224016715,4.5855445720082875,green
0.6457861536936309,893,16.28564533710626,cotton,2,0.10740686793171911,4.746657167690993,green
0.10827734645496669,348,27.40915618003091,wheat,6,0.0657628764095431,4.820610219824513,blue
0.1913243885794289,146,29.92107122292223,rice,4,0.1870332066922351,2.846568374246624,blue
0.6971515921972502,1244,23.356097270424023,rice,4,0.08543285783506642,4.897885585961767,green
0.10455542546159682,313,34.272805093645545,corn,5,0.026547625691196584,3.907895932104975,grey
0.2447272462757488,338,17.664956328344296,rice,3,0.12724263806238226,1.2275214630663285,green
0.5938604104299275,1179,16.87844454339522,wheat,1,0.03162929476055427,2.646050479105865,blue
0.7227056779234239,449,33.20471890509008,wheat,8,0.07559239713232149,3.732490289174018,green
0.6867651335523405,206,27.38728290515496,rice,5,0.10640826835638369,1.613031421185875,blue
0.3018423785145038,930,32.2100599106934,wheat,3,0.1761022796901834,3.382768325969993,blue
0.7409612992127823,147,25.870683465093656,corn,7,0.10377385026462255,3.4997021557097865,blue
0.3135241787471201,1696,21.16005083097767,soybean,7,0.14342916554601623,1.2321488471385464,green
0.39285972834334093,436,35.477557941855,corn,1,0.19863519940982338,3.042883906037403,blue
0.7718422646062217,1149,34.985396974224486,corn,9,0.03498293278061651,3.9723210994037346,blue
0.6846696091424932,903,32.367411771360665,wheat,2,0.06219898984870871,2.7450304904117386,green
0.8643010694447602,1380,21.803628430749068,soybean,5,0.08496945436355281,0.5544640254924834,blue
0.691851603070309,107,29.755766671727176,wheat,5,0.09014735392237795,0.5406731108568148,green
0.6114777430019245,724,24.02434742350067,cotton,8,0.0880940043004537,2.106632047865055,blue
0.18430729104528323,1990,17.289551833165852,wheat,8,0.18244609048574545,4.667873307943019,grey
0.4309442227534902,1376,37.93283938655607,wheat,7,0.14566620244870274,1.5290455082162395,grey
0.3386821309135529,1815,18.420465772974033,wheat,7,0.12550199067723372,3.354636599922592,blue
0.3195906790411752,818,38.75593384552006,soybean,6,0.06878081639392859,1.4993414181199425,grey
0.975709499277201,402,26.150144323948894,wheat,6,0.166520173002046,1.9475149534679688,green
0.4537879522000844,738,19.62832322096549,soybean,9,0.19146149718214792,4.316189403206678,grey
0.902841899659402,155,28.54752368445895,rice,6,0.16602767368454305,3.779876490214761,blue
0.6680247633975366,825,36.82364589691021,cotton,2,0.010297369986379852,0.9292967479094478,blue
0.8153301731874836,625,33.305622160239025,soybean,2,0.13091626033484735,2.429159094438951,green
0.5523733837946729,573,35.16402869653624,rice,5,0.019715722473999137,0.63126393640369,blue
0.6192134961637232,127,31.469584167767934,soybean,4,0.058945371863407155,2.6640056597135406,green
0.5432659244369775,177,32.306914112946316,soybean,2,0.02130969306607662,3.4809530526548063,grey
0.27571868901824004,1339,36.22989128913298,cotton,3,0.12472113606038367,1.033261806191682,grey
0.7502069037353548,1509,21.241700221479647,corn,7,0.1404520835635953,1.7999822250912456,green
0.35269512619677024,464,27.235624091078513,corn,8,0.031752651232521974,2.2902648147597064,green
0.12188436978830847,765,20.530236045490057,soybean,6,0.0829293877785461,4.637889610952223,blue
0.680925066316451,625,39.69170019991617,wheat,5,0.09668493670155298,4.969647569403338,grey
0.25939961146634405,798,38.60148349216533,rice,1,0.08012007413457414,0.7021008454802713,green
0.9464127259176228,1435,15.985670284212647,wheat,8,0.03299475009218668,3.9245356557292643,grey
0.9585357193023286,982,32.63937931289221,wheat,3,0.08960008013562032,2.1727582988105443,green
0.9233779511984037,1130,38.13120793539164,soybean,6,0.15272382908359947,2.2660618380326603,grey
0.43314283022989997,1126,19.51438362818334,soybean,3,0.023491456261318537,3.894192380061602,blue
0.11391095487598069,1746,29.198630763815736,soybean,7,0.025234202675561656,4.632918944654339,grey
0.9354867063289528,1018,37.887207439701044,soybean,7,0.077406545448837,4.779178675261468,grey
0.4853657334855829,849,15.848649464644971,corn,9,0.18892788520759576,3.0970516371724437,grey
0.9699893371393026,462,32.435506681171,soybean,5,0.13702880287735367,2.1070452168522626,grey
0.9672579793803275,1874,22.43372518431377,corn,8,0.13894729176778733,4.043970886364507,grey
0.8677085099206241,1631,38.10990488441326,corn,8,0.07876479825919434,1.6295062246803511,blue
0.36500400286262713,1397,39.27645612913419,soybean,1,0.12279555032962229,3.03833312975083,green
0.4465879557417327,1629,38.60666222783585,cotton,5,0.011924924965271241,2.113603076861929,grey
0.8660230043651712,905,26.855355416436595,rice,3,0.13085824881781302,3.4548398316854425,blue
0.38522980464064993,838,36.55106627473283,wheat,1,0.183524520039485,1.581795108020781,grey
0.2525434720174833,1138,36.11373496337676,corn,4,0.12638895898551564,1.3621682558067159,grey
0.6011211362125152,1315,22.97751183108139,rice,8,0.17600273275860556,4.6320758900394665,green
0.9425392967447028,1754,35.72288685376694,cotton,3,0.14755488053855784,0.958116573272916,grey
0.7264268170074757,584,15.925190867887316,wheat,2,0.03290609911670115,2.7768105848071922,blue
0.6130550530804285,127,29.906746962051326,wheat,9,0.18146612838430995,1.4938375233335401,blue
0.1874588443936917,813,20.750220932192576,corn,5,0.022624330427597227,0.6751848349655035,green
0.6535065040292528,1162,18.01417214443197,soybean,7,0.11145381978407512,0.6620846823114188,grey
0.9910484650938369,1396,16.92383004073023,cotton,2,0.037006053520756955,1.288497974476223,blue
0.22607561371287163,1354,32.407219396953494,corn,9,0.012224256038871773,4.400466595277001,grey
0.5664966871273631,185,23.49687409420165,cotton,9,0.09018650942425141,1.77115434789662,grey
0.8896357647351599,1597,33.11916928821904,soybean,4,0.06605773445428968,4.777066267588831,grey
0.766691755978784,225,16.63390851997356,soybean,4,0.10234009382154458,3.117300318451371,green
0.7273141668957411,911,22.88225844576526,corn,6,0.11966797847956465,2.4647638539594476,grey
0.7322356755883983,636,28.48728230938343,soybean,6,0.018310423738699996,3.1103997560125456,blue
0.42354203609777963,244,34.76807912097409,rice,1,0.03337062607351167,2.825142733518205,grey
0.3642326598380441,1648,22.968812573301747,wheat,9,0.1161420553255808,3.9144931419079634,blue
0.8284250399306623,1335,30.647284410925227,corn,2,0.07520179710280506,1.7712322968778351,grey
0.8291020552112627,124,37.14944370590467,cotton,5,0.14854296263439512,2.088726762201361,blue
0.8803650867220933,1703,30.396579704557617,rice,9,0.13393541323246855,4.523424361399628,blue
0.9219164973008241,1517,20.823986868840844,corn,4,0.1706648289680823,4.7590543091768245,grey
0.560208158974844,166,15.61001953891345,soybean,3,0.1415736370671528,4.516512023689136,grey
0.5513646652184797,332,36.752471847523246,soybean,7,0.09168690470412814,2.387515972807911,blue
0.8184656610700977,208,15.531735271259679,soybean,6,0.13786365825494215,4.011644763530968,green
0.6849675376999886,1269,36.867541817104986,soybean,8,0.06232242310852952,2.6435107998549445,grey
0.731770189531933,210,28.2234283506803,cotton,3,0.0681995647678604,2.7389293346574597,green
0.816213402492491,327,38.476692462822406,rice,5,0.15990718038495075,1.4210604907577777,grey
0.9010048076358097,210,34.96958089434163,wheat,4,0.09481970811630061,3.160086364663324,grey
0.4041956411663823,1593,39.94835276333343,cotton,4,0.161692264698487,1.3376115398900656,grey
0.43802465737594964,133,23.767795386292754,cotton,4,0.16626025099697292,1.992041145802372,grey
0.1845837458567821,722,34.17970722327817,wheat,8,0.17293684415564392,4.347635907289709,green
0.6204521268965566,1899,25.048272840231053,wheat,6,0.1841606948098294,1.4318411414488486,grey
0.13234804641706788,1492,26.99689050759772,soybean,3,0.09188719189752628,0.8202122832804477,blue
0.5190382163192142,847,30.68763658045925,cotton,5,0.07058469548101638,0.8105341667576733,blue
0.588380171236819,694,36.841927854658465,corn,6,0.12061776185288163,4.733530342263985,green
0.357887126915456,1677,39.602086729982375,wheat,5,0.08052276045314924,2.781141970828256,grey
0.6317499345121097,524,34.206835346612955,wheat,6,0.12420409169204426,2.3423543231765827,blue
0.1274502249451445,712,25.444169554183343,rice,8,0.14406131390232668,4.148953614535633,green
0.13361336987429298,1641,25.533925056926755,corn,7,0.14079695351350602,4.261216675597322,grey
0.8403405045936925,791,33.43955753972229,corn,5,0.08116504853382306,1.9948596490202206,blue
0.42417157727013666,1405,20.969428644207557,wheat,6,0.04170343832276304,3.6212812586320786,blue
0.2143544613866963,1443,17.761852828284866,soybean,4,0.09180057430781943,3.9700526713334896,green
0.5700189340493239,1861,23.865553941019414,rice,9,0.03709288737556266,3.4459280908967953,grey
0.7929941977887498,1566,22.180974791352043,corn,4,0.17911843668492358,1.1821778366004472,grey
0.29423892474715885,414,22.407703011399754,wheat,1,0.07571671754019291,4.441473875826757,blue
0.6606014282371002,976,20.840193776247748,corn,7,0.03934735197243152,2.925925487312039,blue
0.1768127184943912,1864,16.052329740909048,rice,7,0.014835074382092667,1.7711259186650166,blue
0.14651354905174693,1500,15.446848368335345,rice,4,0.132706253394432,2.4135268344696224,grey
0.5782191684113333,1412,39.69305974340079,cotton,3,0.13101144031640122,0.6690699067950832,green
0.5865716094490959,1560,25.694328343396556,wheat,8,0.07471479165044541,1.075400605500879,green
0.6736869113483859,761,24.608166178992043,rice,5,0.02362525888105369,3.9449603773213737,grey
0.7534822003503954,376,31.991182067326747,cotton,7,0.08782949003009408,0.5000523563991477,green
0.9782668715162811,1833,20.456347196626602,cotton,4,0.06913132406204478,2.3745462281703147,blue
0.5646703134710758,1705,38.749029598755634,corn,4,0.13865292154965178,2.851295814885148,green
0.39066082564712135,1626,34.6586253603888,corn,8,0.12509805739601118,0.7458548900043753,green
0.8156675752918333,723,17.235275057806486,cotton,8,0.07927280835753259,4.878851733375498,green
0.3437490261358668,615,25.43951939462321,corn,2,0.05139958530844812,1.5175639906235237,blue
0.4950742786350725,1473,36.97795768905412,rice,2,0.19772683356956247,1.8688942383632638,grey
0.17061074320803937,942,38.61830055728525,soybean,3,0.09626030802726182,1.867741305147623,blue
0.12281566907391177,1569,26.68503778124674,rice,3,0.14077210479824506,1.5368749795280745,grey
0.9663835732101326,1953,30.335284730267695,cotton,1,0.03670506383988855,0.5066321993884013,grey
0.8523821084609853,449,19.17584865230188,cotton,3,0.10226204293528558,3.7820515733959836,grey
0.7263767854843282,1730,39.779215653424416,rice,6,0.015231976775198443,4.850804749096784,green
0.46805764997284294,1787,20.791792534586087,corn,8,0.10603647240298548,1.5093206747827028,green
0.2559648880637612,922,38.56829435337814,corn,6,0.19316330735236345,3.483712363115401,grey
0.24079333840397746,1260,31.241166224809213,cotton,5,0.08299927546730204,3.838533471314218,grey
